participant_id,condition,item,question,text,codes
69e682966f693cecc39ac613,ai,21.4,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I used AI to interpret the tasks quickly and then double checked the answers to what AI had said, if I was unsure then I had AI to double check the answers to ensure it was true",ai_self_verify;effort_cost_time
659585d0d682df995ad2c5b5,ai,21.4,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Initially I tried to work things out partially on my own first but the task would have taken me too long. Then I tried to check AI's logic by getting it (for example) to show me possible timetables. I did notice one mistake it had made which made me worry that some of the other legwork it had done might also be wrong. In the end I was too short of time to not trust it,effort_cost_time;reasoning_check
6a04d6f7d3e6d5170c2f1584,ai,21.4,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",The scenarios were very complicated. I did use paper or write anything down. If I had been able to I believe I could have scored better.,effort_cost_time
67894c4106e9380ced60256e,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I tended to copt and paste into the AI while I read over the scenario and question myself. I then double checked the AIs answers to see if there was any issues with them. I didn't find any so I went with what the AI said. From what i could tell the AI made sense every time.,unspecified_verification
69fd9d6f7d9cd6c042e8a1cc,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I didn't really use any strategies, I just copied all of the available information into the AI and asked it to solve the problems for me",UNCODED
6a2012eff90f7af67fdfb112,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","First few I would decide my answer before reading the prompt of the AI and because they would match, I would then generally check the AIs prompts first then double check them if I had doubts.",unspecified_verification
6a1c0a74391cb03e607159f3,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I checked over the AI's thinking,reasoning_check
676ada80fe4f612146e3c8b3,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",i read through the questions and see if i could answer some well enough and went with the ai's answers that goes with mine,own_first_then_compare
5a9c41f2dbdb470001eeef9c,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I felt quite overwhelmed by all the details in combination with the time limit - plus a false start from trying to access the study on Chrome. So I took a quick overview of the scenarios and then mostly just relied on the AI's input. On one question, about drink tokens, I overruled the AI as I thought half tokens wouldn't be issued - but I could be wrong!",effort_cost_time;full_reliance;overrode_ai
5ca9106716aa84001725d880,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I didn't really check through if they looked ok I went with them as it was what I would normally do,UNCODED
69e798083733072e5376734b,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I read the questions and then the scenerio so I had a rough idea of what the answer could be but I was not sure so I took AI's help and completed my task.,UNCODED
